ID Converged Psurf H2O O O2 O3 H2O2
79674 True 0.2063191705870896 228251201087.28882 2.2825E+11 1.0040E-02 9.9824E-03 1.001E-02 5.008E-03
96182 True 0.2072944193572157 228319734320.95505 2.2832E+11 1.0031E-02 9.9353E-03 1.001E-02 5.049E-03
94470 True 0.198893791074388 227605922860.50006 2.2761E+11 1.0508E-02 1.0299E-02 9.921E-03 4.664E-03
7378 True 0.21162168505626627 228097798892.48688 2.2810E+11 1.0459E-02 9.7267E-03 9.873E-03 5.032E-03
70184 True 0.20676106381865872 228344299226.19583 2.2834E+11 9.9518E-03 9.9686E-03 1.003E-02 5.060E-03
3564 True 0.20678180959977954 228200074700.40912 2.2820E+11 1.0057E-02 9.9543E-03 9.987E-03 4.929E-03
95204 True 0.20450702975099178 228206000973.68793 2.2821E+11 9.9848E-03 1.0082E-02 9.955E-03 4.808E-03
40896 True 0.2067918593653914 228277574960.80496 2.2828E+11 1.0225E-02 9.9464E-03 9.987E-03 5.032E-03
49470 True 0.2067673240724577 228140390444.6564 2.2814E+11 9.9832E-03 9.9568E-03 1.010E-02 4.938E-03
84413 True 0.20574874749136934 228348824672.49225 2.2835E+11 9.9940E-03 1.0016E-02 1.001E-02 5.049E-03
97887 True 0.2088378951732622 228477269473.58517 2.2848E+11 9.8004E-03 9.8782E-03 9.971E-03 5.079E-03
61001 True 0.20705185334556864 227771812264.57297 2.2777E+11 1.0504E-02 9.8897E-03 9.837E-03 4.875E-03
13723 True 0.20026495018187346 228226239074.93494 2.2823E+11 1.0492E-02 1.0258E-02 1.019E-02 4.757E-03
43625 True 0.21240278617756378 227684074185.51392 2.2768E+11 1.0520E-02 9.6724E-03 9.685E-03 4.509E-03
52425 True 0.20284541878671442 228347888992.1392 2.2835E+11 9.9378E-03 1.0181E-02 1.003E-02 4.986E-03
35494 True 0.2043260774285751 228419249676.514 2.2842E+11 9.9839E-03 1.0097E-02 9.939E-03 5.199E-03
19049 True 0.20742270294268425 228316778304.8446 2.2832E+11 1.0051E-02 9.9267E-03 1.001E-02 5.058E-03
52366 True 0.20701485448352877 228279538669.8037 2.2828E+11 1.0069E-02 9.9447E-03 9.977E-03 5.034E-03
7589 True 0.20627082858997486 228228819052.9761 2.2823E+11 9.9144E-03 9.9922E-03 1.001E-02 4.960E-03
31220 True 0.20487063178592899 228396757147.22287 2.2840E+11 9.8335E-03 1.0079E-02 1.006E-02 5.122E-03
58532 True 0.2042984165011993 228372372211.90646 2.2837E+11 9.9702E-03 1.0104E-02 1.000E-02 4.983E-03
4906 True 0.20166635343688935 227833496644.85315 2.2783E+11 1.0412E-02 1.0179E-02 9.943E-03 4.789E-03
75272 True 0.2122794888400149 228422642397.86642 2.2842E+11 9.7887E-03 9.7545E-03 1.012E-02 4.991E-03
